brand,name,address,latitude,longitude
Coles Express,Coles Express Cremorne,"227 Military Rd, Cremorne NSW 2090",-33.830574,151.226235
BP,BP Mortdale,"21 Boundary Road, Mortdale NSW 2223",-33.970669,151.073689
BP,BP Mosman (0926),"Cnr Avenue & Cowles Roads, Mosman NSW 2088",-33.832039,151.237292
BP,BP Naremburn,"169 Willoughby Road, Naremburn NSW 2065",-33.820024,151.201159
Coles Express,Coles Express Hunters Hill,"4 Ryde Rd, Hunters Hill NSW 2110",-33.831761,151.141656
Coles Express,Coles Express Blacktown,"132-136 Sunnyholt Road, Blacktown NSW 2148",-33.753881,150.914618
BP,BP Albion Park,"83 Princes Highway, Albion Park Rail NSW 2527",-34.554498,150.790588
BP,BP Asquith,"Cnr Pacific Highway & Jersey Street, Asquith NSW 2077",-33.689447,151.106412
Coles Express,Coles Express Greenacre,"74 Roberts Road, Greenacre NSW 2190",-33.892334,151.066348
BP,BP Bankstown Airport,"Henry Lawson Drive, Bankstown NSW 2200",-33.927402,150.98035
BP,BP Canterbury,"322 Canterbury Road, Canterbury NSW 2193",-33.914974,151.113038
BP,BP Hornsby,"Cnr George St and Burdett St, Hornsby NSW 2077",-33.702337,151.099325
BP,BP Milperra,"5 Bullecourt Avenue, Milperra NSW 2214",-33.937498,150.988951
BP,BP Mona Vale,"1721 Pittwater Road, Mona Vale NSW 2103",-33.680425,151.302357
BP,BP Peninsula,"Cnr Barrenjoey & Darley Roads, Mona Vale NSW 2103",-33.676686,151.308878
BP,BP Rydalmere,"Cnr Victora Rd & Clyde St, Rydalmere NSW 2116",-33.810883,151.032896
BP,BP St Peters (NSW),"2 Princes Highway, St Peters NSW 2044",-33.909968,151.181031
BP,BP Stewart Street,"255-257 Stewart Street, Bathurst NSW 2795",-33.417435,149.568958
Coles Express,Coles Express Nowra,"55 Kinghorne St (Cnr Worrigee St), Nowra NSW 2541",-34.876305,150.602472
Coles Express,Coles Express Fairfield,"436-438 The Horsley Dve (Cnr Polding St), Fairfield NSW 2165",-33.863938,150.954286
BP,BP Beresfield T/S,"Lot 201 John Renshaw Drive, Beresfield NSW 2322",-32.81168,151.63935
BP,BP Berkeley Vale,"1 Blade Close, Berkeley Vale NSW 2261",-33.330562,151.423842
BP,BP Ozigo,"Cnr Ewingsdale Rd & Bayshaw Dve, Byron Bay NSW 2481",-28.637155,153.58156
BP,BP Tornik,"2-8 Duncans Lane (Cnr Pacific Hwy), Grafton NSW 2460",-29.70369,152.95736
BP,BP Clybucca T/S,"Pacific Highway, Clybucca NSW 2440",-30.938466,152.942578
BP,BP Coffs Harbour,"136 Pacific Highway, Coffs Harbour NSW 2450",-30.291826,153.118513
BP,BP Artarmon,"422 Pacific Hwy, Artarmon NSW 2064",-33.811441,151.175636
BP,BP Ashfield,"580-586 Parramatta Road, Croydon NSW 2132",-33.87388,151.12688
BP,BP Balgowlah,"485 Sydney Road, Balgowlah NSW 2093",-33.795281,151.255873
Coles Express,Coles Express Forster,"2 The Lakes Way, Forster NSW 2428",-32.194513,152.514473
BP,BP Camperdown,"Cnr Parramatta & Missenden Roads, Camperdown NSW 2050",-33.886251,151.179144
BP,BP Caringbah,"Cnr Captain Cook Dve & Cawarra Rd, Caringbah NSW 2229",-34.032899,151.125228
BP,BP Quakers Hill,"45 Hambledon Road, Quakers Hill NSW 2763",-33.717458,150.892029
BP,BP Regent Street,"116 Regent Street, Redfern NSW 2016",-33.89369,151.199542
BP,BP Revesby,"Cnr Milperra & River Rds, Revesby NSW 2212",-33.938713,151.018025
BP,BP Rosehill,"Cnr Hassall & James Ruse Drive, Rosehill NSW 2142",-33.819266,151.021834
BP,BP Rozelle,"Cnr Victoria Rd & Evans St, Rozelle NSW 2039",-33.865443,151.172119
BP,BP Runway,"Cnr Butler Rd & General Holmes Dve, Mascot NSW 2020",-33.944834,151.185244
Coles Express,Coles Express Narellan,"293 Camden Valley Hwy (Cnr Grahams Hill Rd), Narellan NSW 2567",-34.041432,150.732991
BP,BP Seven Hills,"Abbott Road, Seven Hills NSW 2147",-33.767172,150.95023
BP,BP St Marys,"76 Glossop Street, St Marys NSW 2760",-33.760059,150.781616
BP,BP Sydenham,"339 Princes Highway, Sydenham NSW 2044",-33.916202,151.172809
BP,BP Thornleigh,"Pennant Hills Rd & Parkes St, THORNLEIGH NSW 2120",-33.730871,151.080626
BP,BP Wiley Park,"24-42 King Georges Road, Wiley Park NSW 2195",-33.919477,151.066801
BP,BP Woodcroft,"Cnr Woodcroft Dr & Richmond Road, Doonside NSW 2767",-33.747348,150.87984
BP,BP Woollahra,"39 Vernon Street, Woollahra NSW 2025",-33.889907,151.247435
BP,BP Dubbo,"107 Erskine Street, Dubbo NSW 2830",-32.244416,148.611168
BP,BP Dubbo West,"51-63 Whylandra Street, Dubbo West NSW 2830",-32.24827,148.592717
BP,BP East End,"46 Clarinda Street, Parkes NSW 2870",-33.142562,148.184573
Coles Express,Coles Express Greenacre,"9-11 Roberts Road, Greenacre NSW 2190",-33.894346,151.066705
BP,BP Engadine,"1234 Princess Highway, Engadine NSW 2233",-34.077286,151.011051
BP,BP Marulan Northbound T/S,"Hume Highway, Marulan North NSW 2579",-34.719585,149.996285
BP,BP Marulan Southbound T/S,"Hume Highway, Marulan South NSW 2579",-34.718471,150.001042
BP,BP Mosman (9542),"175 Ourimbah Road, Mosman NSW 2088",-33.821068,151.233292
BP,BP Express Northwood,"7-9 Northwood Road, Northwood NSW 2066",-33.824457,151.172717
BP,BP Penrith,"Cnr Castlereagh & Coreen Ave, Penrith NSW 2750",-33.743757,150.692323
BP,BP Toronto,"132 CAREY STREET, Toronto NSW 2283",-33.011458,151.593868
BP,BP Tuggerah,"100 Pacific Highway, Tuggerah NSW 2259",-33.305782,151.419808
BP,BP Valentine,"855 Macquarie Drive, Valentine NSW 2280",-33.00802,151.642586
BP,BP West Ryde,"1233 Victoria Road (Cnr Marsden Rd), West Ryde NSW 2114",-33.806799,151.071056
Coles Express,Coles Express Merrylands,"398 Merrylands Rd (Cnr Fowler Rd), Merrylands NSW 2160",-33.834269,150.977397
BP,BP Willoughby,"316 Penhurst St, Willoughby NSW 2068",-33.793815,151.195894
BP,BP Wyoming,"481 Pacific Highway, Wyoming NSW 2250",-33.408004,151.351119
BP,BP Fairy Meadow,"Northgate Ctr  224 Princess Hway, Fairy Meadow NSW 2519",-34.4033,150.891583
BP,BP Forbes,"Cnr Johnson & Dowling Streets, Forbes NSW 2871",-33.38137,148.0101
BP,BP Grafton,"58 Fitzroy Street, Grafton NSW 2460",-29.693472,152.937187
BP,BP Grenfell Road,"11 Grenfell Road, Cowra NSW 2794",-33.834367,148.673384
BP,BP Hexham,"Cnr Pacific Hwy & Old M'Land, Hexham NSW 2322",-32.827445,151.684334
BP,BP Jamisontown,"126-130 Mulgoa Road, Penrith NSW 2750",-33.769731,150.676374
BP,BP Jerilderie T/S,"13 Southy Street, Jerilderie NSW 2716",-35.36073,145.719027
Coles Express,Coles Express Northmead,"197 Windsor Road, Northmead NSW 2152",-33.7774,151.000088
BP,BP Kelso,"63 Sydney Road, Kelso NSW 2795",-33.419261,149.60764
BP,BP Maclean,"3286 Pacific Highway, MacLean NSW 2463",-29.485077,153.200435
BP,BP Marsden Park,"851 Richmond Road, Marsden Park NSW 2765",-33.71975,150.844843
BP,BP North Albury T/S,"3 Travelstop Way, Lavington NSW 2641",-36.035735,146.971167
BP,BP North Wyong,"Cnr Pacific Hwy & Amy Close, Wyong NSW 2259",-33.267878,151.435375
BP,BP Overlander (NSW),"81 Summer Street, Orange NSW 2800",-33.282671,149.095147
BP,BP Parkes T/S,"1-5 Forbes Road, PARKES NSW 2870",-33.1432034,148.1710874
BP,BP Potts Hill T/S,"155-157 Rockwood Road, Yagoona NSW 2199",-33.893297,151.039079
Coles Express,Coles Express Parramatta,"88 Victoria Rd (Cnr Buller St), Parramatta NSW 2150",-33.808902,151.012191
BP,BP Pymble,"Cnr Pacific Hwy & Bannockburn Rd, Pymble NSW 2073",-33.740569,151.137913
BP,BP Raglan,"39 Sydney Road, Raglan NSW 2795",-33.422593,149.648672
BP,BP Riverside Maclean,"111-117 River Street, MacLean NSW 2463",-29.449332,153.200963
BP,BP Border,"Cnr Ebden & Wodonga Place, Albury NSW 2640",-36.088643,146.909205
BP,BP Crossroads,"615-617 Hume Hwy, CASULA NSW 2170",-33.9551991,150.8949626
BP,BP Dural,"582 Old Northern Road, Dural NSW 2158",-33.695898,151.028141
BP,BP Forestville,"632 Warringah Road, Forestville NSW 2087",-33.760003,151.214383
BP,BP Rutherford,"360 New England Hwy, Rutherford NSW 2320",-32.710116,151.516728
Coles Express,Coles Express Dundas,"199-203 Kissing Point Rd (Cnr Kirby St), Dundas NSW 2117",-33.799108,151.045362
BP,BP Springwood,"28 Great Western Highway, Valley Heights NSW 2777",-33.701788,150.581847
BP,BP Tumbi Umbi,"Cnr Wyong Rd & Mingara Dve, Tumbi Umbi NSW 2261",-33.36272,151.44428
BP,BP South Moorebank,"80 Heathcote Road, Moorebank NSW 2170",-33.935932,150.935882
BP,BP Wellington,"Cnr Arthur & Maxwell Streets, Wellington NSW 2820",-32.557961,148.944436
BP,BP Wollongbar Service Centre,"22-24 Bruxner Hwy, Wollongbar NSW 2477",-28.825735,153.41528
Coles Express,Coles Express Dubbo,"131-133 Cobra St (Cnr Fitzroy St), Dubbo NSW 2830",-32.255022,148.61263
United,United Petroleum Beresfield,"261 Anderson Drive, Beresfield NSW 2322",-32.799112,151.645069
United,United Petroleum East Blaxland,"67 Old Bathurst Road, East Blaxland NSW 2774",-33.745864,150.622484
Coles Express,Coles Express Bondi Junction,"120-138 Birrell Street, Bondi Junction NSW 2022",-33.895583,151.248617
United,United Petroleum Dee Why,"1 The Strand, Dee Why NSW 2099",-33.755734,151.29601
United,United Petroleum Dee Why Pittwater,"625 Pittwater Road, Dee Why NSW 2099",-33.756129,151.282579
United,United Petroleum Dorrigo,"3 Cudgery Street, Dorrigo NSW 2453",-30.340107,152.710156
Coles Express,Coles Express Albion Park,"252 Princes Highway, Albion Park NSW 2527",-34.567663,150.802234
Coles Express,Coles Express Randwick,"Frenchmans Rd & Clovelly Rd, Randwick NSW 2031",-33.908364,151.247674
United,United Petroleum Whittingham,"Lot 2 New England Highway, Whittingham NSW 2330",-32.640604,151.231407
United,United Petroleum Freemans Waterhole,"971 Freemans Drive, Freemans Waterhole NSW 2323",-32.98429,151.485259
United,United Petroleum Grafton South,"Pacific Hwy & Heber Street, GRAFTON SOUTH NSW 2460",-29.711111,152.945306
United,United Petroleum Kemps Creek,"1465-1467 Elizabeth Drive, Kemps Creek NSW 2178",-33.879605,150.788879
Coles Express,Coles Express Randwick,"54 Alison Road, Randwick NSW 2031",-33.908067,151.234151
United,United Petroleum Marrangaroo,"Great Western Hwy, MARRANGAROO NSW 2790",-33.452123,150.117467
Coles Express,Coles Express Maroubra,"959-961 Anzac Pde, Maroubra NSW 2035",-33.949944,151.24071
United,United Petroleum Minto,"6 Swettenham Road, Minto NSW 2566",-34.029952,150.831766
United,United Petroleum North Richmond,"81-87 Bells Line of Road, North Richmond NSW 2754",-33.578728,150.718139
United,United Petroleum Orange,"174 Woodward Street, Orange NSW 2800",-33.280011,149.087192
